iter	Passed	Remaining
428	614	818
429	615	816
430	616	814
431	618	812
432	619	810
433	621	809
434	621	807
435	622	805
436	623	803
437	624	801
438	625	799
439	626	797
440	627	795
441	628	794
442	629	792
443	630	790
444	631	788
445	633	786
446	634	785
447	635	783
448	636	781
449	637	779
450	638	777
451	639	775
452	640	773
453	642	772
454	643	770
455	644	768
456	645	766
457	646	764
458	647	762
459	648	761
460	650	760
461	651	758
462	652	756
463	653	754
464	654	753
465	655	751
466	656	749
467	657	747
468	658	745
469	659	743
470	660	741
471	661	740
472	662	738
473	663	736
474	665	735
475	666	733
476	667	731
477	668	729
478	669	728
479	670	726
480	671	724
481	672	722
482	673	721
483	674	719
484	675	717
485	676	715
486	677	713
487	678	711
488	680	711
489	681	709
490	682	707
491	683	705
492	684	703
493	685	702
494	686	700
495	687	698
496	689	697
497	690	695
498	691	693
499	692	692
500	693	691
501	695	689
502	696	688
503	697	686
504	698	684
505	699	682
506	700	680
507	701	679
508	702	677
509	703	675
510	704	674
511	705	672
512	707	671
513	708	669
514	710	668
515	711	667
516	712	665
517	713	664
518	714	662
519	715	660
520	717	659
521	718	657
522	719	656
523	720	654
524	721	653
525	723	651
526	724	650
527	725	648
528	727	647
529	728	645
530	729	644
531	731	643
532	732	641
533	733	640
534	734	638
535	736	637
536	737	635
537	738	634
538	740	633
539	741	631
540	742	629
541	743	628
542	744	626
543	745	624
544	746	623
545	747	621
546	748	620
547	749	618
548	751	617
549	752	615
550	754	615
551	755	613
552	756	611
553	757	610
554	759	608
555	760	607
556	761	605
557	762	603
558	763	602
559	764	600
560	766	599
561	767	598
562	769	597
563	770	595
564	771	593
565	772	592
566	773	590
567	774	589
568	775	587
569	776	586
570	777	584
571	778	582
572	780	581
573	781	580
574	783	578
575	784	577
576	785	575
577	786	574
578	787	572
579	788	570
580	789	569
581	790	567
582	791	566
583	792	564
584	793	563
585	794	561
586	795	560
587	797	559
588	798	557
589	799	555
590	801	554
591	802	552
592	803	551
593	804	549
594	805	548
595	806	546
596	807	545
597	808	543
598	810	542
599	812	541
600	813	540
601	814	538
602	815	536
603	816	535
604	817	533
605	818	532
606	819	530
607	820	528
608	821	527
609	822	525
610	823	524
611	825	523
612	827	522
613	828	520
614	829	519
615	830	517
616	831	516
617	832	514
618	833	513
619	834	511
620	835	510
621	836	508
622	838	507
623	839	505
624	840	504
625	841	502
626	842	501
627	844	499
628	844	498
629	846	496
630	847	495
631	847	493
632	848	492
633	850	490
634	851	489
635	852	487
636	853	486
637	854	485
638	856	483
639	857	482
640	858	481
641	860	479
642	861	478
643	862	476
644	863	475
645	864	473
646	865	472
647	866	470
648	867	469
649	868	467
650	870	466
651	871	465
652	872	463
653	873	462
654	874	460
655	875	459
656	876	457
657	877	456
658	879	454
659	880	453
660	881	451
661	882	450
662	883	448
663	884	447
664	886	446
665	887	445
666	888	443
667	889	442
668	890	440
669	891	439
670	892	437
671	893	436
672	894	434
673	895	433
674	896	431
675	897	430
676	899	428
677	900	427
678	901	426
679	902	424
680	903	423
681	904	421
682	905	420
683	906	419
684	907	417
685	909	416
686	910	414
687	911	413
688	912	411
689	913	410
690	915	409
691	916	407
692	917	406
693	918	404
694	919	403
695	920	402
696	921	400
697	922	399
698	923	397
699	924	396
700	925	394
701	926	393
702	928	392
703	929	390
704	930	389
705	931	387
706	932	386
707	933	385
708	934	383
709	935	382
710	936	380
711	937	379
712	938	377
713	939	376
714	940	375
715	942	373
716	943	372
717	945	371
718	946	369
719	947	368
720	948	367
721	949	365
722	950	364
723	951	362
724	952	361
725	953	359
726	954	358
727	955	357
728	956	355
729	958	354
730	959	353
731	960	351
732	961	350
733	962	348
734	963	347
735	964	346
736	965	344
737	966	343
738	967	341
739	968	340
740	969	339
741	971	337
742	972	336
743	974	335
744	975	333
745	976	332
746	977	331
747	978	329
748	979	328
749	980	326
750	981	325
751	982	324
752	983	322
753	984	321
754	985	319
755	987	318
756	988	317
757	989	316
758	990	314
759	992	313
760	993	311
761	994	310
762	995	309
763	996	307
764	997	306
765	998	305
766	999	303
767	1000	302
768	1002	301
769	1004	299
770	1005	298
771	1006	297
772	1007	295
773	1008	294
774	1009	292
775	1009	291
776	1010	290
777	1011	288
778	1012	287
779	1013	285
780	1015	284
781	1016	283
782	1017	282
783	1018	280
784	1019	279
785	1020	277
786	1021	276
787	1022	275
788	1023	273
789	1024	272
790	1025	271
791	1026	269
792	1027	268
793	1028	266
794	1030	265
795	1031	264
796	1033	263
797	1034	261
798	1035	260
799	1036	259
800	1037	257
801	1038	256
802	1039	254
803	1040	253
804	1041	252
805	1042	250
806	1043	249
807	1045	248
808	1046	247
809	1047	245
810	1049	244
811	1050	243
812	1051	241
813	1052	240
814	1053	239
815	1054	237
816	1055	236
817	1056	235
818	1057	233
819	1058	232
820	1059	231
821	1061	229
822	1062	228
823	1063	227
824	1064	225
825	1065	224
826	1067	223
827	1068	221
828	1069	220
829	1070	219
830	1071	217
831	1072	216
832	1073	215
833	1074	213
834	1076	212
835	1077	211
836	1078	210
837	1079	208
838	1080	207
839	1081	206
840	1082	204
841	1083	203
842	1084	202
843	1085	200
844	1086	199
845	1087	198
846	1089	196
847	1090	195
848	1092	194
849	1093	192
850	1094	191
851	1095	190
852	1096	189
853	1097	187
854	1098	186
855	1100	185
856	1100	183
857	1102	182
858	1103	181
859	1104	179
860	1105	178
861	1107	177
862	1108	175
863	1109	174
864	1110	173
865	1111	171
866	1112	170
867	1113	169
868	1114	168
869	1115	166
870	1116	165
871	1118	164
872	1119	162
873	1121	161
874	1122	160
875	1123	159
876	1124	157
877	1125	156
878	1126	155
879	1127	153
880	1128	152
881	1129	151
882	1131	149
883	1132	148
884	1133	147
885	1134	145
886	1136	144
887	1137	143
888	1138	142
889	1139	140
890	1140	139
891	1141	138
892	1143	136
893	1144	135
894	1145	134
895	1146	133
896	1147	131
897	1148	130
898	1150	129
899	1151	127
900	1152	126
901	1153	125
902	1154	124
903	1155	122
904	1156	121
905	1157	120
906	1158	118
907	1159	117
908	1161	116
909	1162	114
910	1163	113
911	1165	112
912	1166	111
913	1167	109
914	1168	108
915	1169	107
916	1170	105
917	1171	104
918	1172	103
919	1173	102
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1178	95
925	1180	94
926	1181	93
927	1182	91
928	1183	90
929	1184	89
930	1185	87
931	1187	86
932	1188	85
933	1189	84
934	1190	82
935	1191	81
936	1192	80
937	1194	78
938	1195	77
939	1196	76
940	1197	75
941	1198	73
942	1199	72
943	1201	71
944	1202	69
945	1203	68
946	1204	67
947	1205	66
948	1206	64
949	1207	63
950	1209	62
951	1210	61
952	1211	59
953	1212	58
954	1213	57
955	1214	55
956	1215	54
957	1216	53
958	1217	52
959	1218	50
960	1220	49
961	1221	48
962	1223	46
963	1224	45
964	1225	44
965	1227	43
966	1228	41
967	1229	40
968	1230	39
969	1231	38
970	1232	36
971	1233	35
972	1234	34
973	1235	32
974	1236	31
975	1238	30
976	1240	29
977	1241	27
978	1242	26
979	1243	25
980	1244	24
981	1245	22
982	1246	21
983	1247	20
984	1248	19
985	1250	17
986	1251	16
987	1252	15
988	1253	13
989	1255	12
990	1256	11
991	1257	10
992	1258	8
993	1259	7
994	1261	6
995	1262	5
996	1263	3
997	1264	2
998	1265	1
999	1266	0
